"","epsiloniter","meanLaplace","meanExponential","sdExponential","sdLaplace"
"1",0.1,4046.2210449219,326.03081204765,13.0976893663516,83.6154556673013
"2",0.147368421052632,3680.57066694163,198.359200239056,8.5291597468584,87.4255510987548
"3",0.194736842105263,3356.64746353885,137.640362318228,5.82780567738464,75.9363012285212
"4",0.242105263157895,3022.72990492615,100.25392779015,4.63918085274471,76.4616809027007
"5",0.289473684210526,2754.3205640723,76.6987064894615,3.64587676803105,67.2251416905833
"6",0.336842105263158,2493.74019555077,60.5336366402451,3.13979359166472,81.6004781124711
"7",0.384210526315789,2262.11022495665,48.7967843920412,2.94783650335762,54.482912147661
"8",0.431578947368421,2057.12790192238,40.7581889695767,2.29532647455745,70.658311061453
"9",0.478947368421053,1887.56461254463,34.0667988584703,2.05289785614283,61.1329906397768
"10",0.526315789473684,1720.60013132957,28.759006893253,1.80118543291516,57.3790777169319
"11",0.573684210526316,1592.43727526921,24.3239176892443,2.00464899360909,47.9639213447331
"12",0.621052631578947,1475.15624462427,21.0423827957083,1.66951914618609,46.0966680121544
"13",0.668421052631579,1351.61665565097,18.2897983539943,1.51816277385604,47.3321146025585
"14",0.715789473684211,1265.20110776706,15.9727356505999,1.21027465012052,50.4846136452761
"15",0.763157894736842,1180.62704815555,14.3544162663771,1.23025988773472,43.4273423874765
"16",0.810526315789474,1106.35096247217,12.6403519999422,1.22733023222492,37.7943917016279
"17",0.857894736842105,1045.65488563273,11.3856507427385,1.03614121831179,33.1919715309272
"18",0.905263157894737,979.789874468604,10.3188922024611,1.07019887899934,34.2694208514959
"19",0.952631578947368,931.722968698037,9.16143937615212,0.934465437587453,31.8120531836973
"20",1,876.707289940841,8.52323995381128,0.815006121243071,29.2022869218756
